Year: 2020, Old Region: Greater Accra Region, New Region: Greater Accra Region, Code: Others, Candidate: Christian Kwabena Andrews, Party: GUM, Votes: 16112, Votes(%): 0.62%
Year: 2020, Old Region: Greater Accra Region, New Region: Greater Accra Region, Code: Others, Candidate: Henry Herbert Lartey, Party: GCPP, Votes: 231, Votes(%): 0.01%
Year: 2020, Old Region: Greater Accra Region, New Region: Greater Accra Region, Code: Others, Candidate: Nana Konadu Agyeman Rawlings, Party: NDP, Votes: 685, Votes(%): 0.03%
Year: 2020, Old Region: Northern Region, New Region: North East Region, Code: NPP, Candidate: Nana Akufo Addo, Party: NPP, Votes: 122742, Votes(%): 51.33%
Year: 2020, Old Region: Northern Region, New Region: North East Region, Code: NDC, Candidate: John Dramani Mahama, Party: NDC, Votes: 112306, Votes(%): 46.97%
Year: 2020, Old Region: Northern Region, New Region: North East Region, Code: Others, Candidate: Ivor Kobina Greenstreet, Party: CPP, Votes: 292, Votes(%): 0.12%
Year: 2020, Old Region: Northern Region, New Region: North East Region, Code: Others, Candidate: David Asibi Ayindenaba Apasera, Party: PNC, Votes: 579, Votes(%): 0.24%
Year: 2020, Old Region: Northern Region, New Region: North East Region, Code: Others, Candidate: Alfred Kwame Asiedu Walker, Party: IND, Votes: 322, Votes(%): 0.13%
Year: 2020, Old Region: Northern Region, New Region: North East Region, Code: Others, Candidate: Percival Kofi Akpaloo, Party: LPG, Votes: 505, Votes(%): 0.21%
Year: 2020, Old Region: Northern Region, New Region: North East Region, Code: Others, Candidate: Hassan Ayariga, Party: APC, Votes: 376, Votes(%): 0.16%
Year: 2020, Old Region: Northern Region, New Region: North East Region, Code: Others, Candidate: Bridget Dzogbenuku, Party: PPP, Votes: 205, Votes(%): 0.09%
Year: 2020, Old Region: Northern Region, New Region: North East Region, Code: Others, Candidate: Akua Donkor, Party: GFP, Votes: 324, Votes(%): 0.14%
Year: 2020, Old Region: Northern Region, New Region: North East Region, Code: Others, Candidate: Christian Kwabena Andrews, Party: GUM, Votes: 952, Votes(%): 0.40%
Year: 2020, Old Region: Northern Region, New Region: North East Region, Code: Others, Candidate: Henry Herbert Lartey, Party: GCPP, Votes: 198, Votes(%): 0.08%
Year: 2020, Old Region: Northern Region, New Region: North East Region, Code: Others, Candidate: Nana Konadu Agyeman Rawlings, Party: NDP, Votes: 322, Votes(%): 0.13%
Year: 2020, Old Region: Northern Region, New Region: Northern Region, Code: NPP, Candidate: Nana Akufo Addo, Party: NPP, Votes: 409063, Votes(%): 45.61%
Year: 2020, Old Region: Northern Region, New Region: Northern Region, Code: NDC, Candidate: John Dramani Mahama, Party: NDC, Votes: 476650, Votes(%): 53.14%
Year: 2020, Old Region: Northern Region, New Region: Northern Region, Code: Others, Candidate: Ivor Kobina Greenstreet, Party: CPP, Votes: 1516, Votes(%): 0.17%
Year: 2020, Old Region: Northern Region, New Region: Northern Region, Code: Others, Candidate: David Asibi Ayindenaba Apasera, Party: PNC, Votes: 1209, Votes(%): 0.13%
Year: 2020, Old Region: Northern Region, New Region: Northern Region, Code: Others, Candidate: Alfred Kwame Asiedu Walker, Party: IND, Votes: 1260, Votes(%): 0.14%
Year: 2020, Old Region: Northern Region, New Region: Northern Region, Code: Others, Candidate: Percival Kofi Akpaloo, Party: LPG, Votes: 1281, Votes(%): 0.14%
Year: 2020, Old Region: Northern Region, New Region: Northern Region, Code: Others, Candidate: Hassan Ayariga, Party: APC, Votes: 899, Votes(%): 0.10%
Year: 2020, Old Region: Northern Region, New Region: Northern Region, Code: Others, Candidate: Bridget Dzogbenuku, Party: PPP, Votes: 499, Votes(%): 0.06%
Year: 2020, Old Region: Northern Region, New Region: Northern Region, Code: Others, Candidate: Akua Donkor, Party: GFP, Votes: 394, Votes(%): 0.04%
Year: 2020, Old Region: Northern Region, New Region: Northern Region, Code: Others, Candidate: Christian Kwabena Andrews, Party: GUM, Votes: 3184, Votes(%): 0.35%
Year: 2020, Old Region: Northern Region, New Region: Northern Region, Code: Others, Candidate: Henry Herbert Lartey, Party: GCPP, Votes: 438, Votes(%): 0.05%
Year: 2020, Old Region: Northern Region, New Region: Northern Region, Code: Others, Candidate: Nana Konadu Agyeman Rawlings, Party: NDP, Votes: 545, Votes(%): 0.06%
Year: 2020, Old Region: Volta Region, New Region: Oti Region, Code: NPP, Candidate: Nana Akufo Addo, Party: NPP, Votes: 103865, Votes(%): 35.88%
Year: 2020, Old Region: Volta Region, New Region: Oti Region, Code: NDC, Candidate: John Dramani Mahama, Party: NDC, Votes: 181021, Votes(%): 62.53%
Year: 2020, Old Region: Volta Region, New Region: Oti Region, Code: Others, Candidate: Ivor Kobina Greenstreet, Party: CPP, Votes: 265, Votes(%): 0.09%
Year: 2020, Old Region: Volta Region, New Region: Oti Region, Code: Others, Candidate: David Asibi Ayindenaba Apasera, Party: PNC, Votes: 371, Votes(%): 0.13%
Year: 2020, Old Region: Volta Region, New Region: Oti Region, Code: Others, Candidate: Alfred Kwame Asiedu Walker, Party: IND, Votes: 282, Votes(%): 0.10%
Year: 2020, Old Region: Volta Region, New Region: Oti Region, Code: Others, Candidate: Percival Kofi Akpaloo, Party: LPG, Votes: 228, Votes(%): 0.08%
Year: 2020, Old Region: Volta Region, New Region: Oti Region, Code: Others, Candidate: Hassan Ayariga, Party: APC, Votes: 195, Votes(%): 0.07%
Year: 2020, Old Region: Volta Region, New Region: Oti Region, Code: Others, Candidate: Bridget Dzogbenuku, Party: PPP, Votes: 240, Votes(%): 0.08%
Year: 2020, Old Region: Volta Region, New Region: Oti Region, Code: Others, Candidate: Akua Donkor, Party: GFP, Votes: 200, Votes(%): 0.07%
Year: 2020, Old Region: Volta Region, New Region: Oti Region, Code: Others, Candidate: Christian Kwabena Andrews, Party: GUM, Votes: 2459, Votes(%): 0.85%
Year: 2020, Old Region: Volta Region, New Region: Oti Region, Code: Others, Candidate: Henry Herbert Lartey, Party: GCPP, Votes: 97, Votes(%): 0.03%
Year: 2020, Old Region: Volta Region, New Region: Oti Region, Code: Others, Candidate: Nana Konadu Agyeman Rawlings, Party: NDP, Votes: 253, Votes(%): 0.09%
Year: 2020, Old Region: Northern Region, New Region: Savannah Region, Code: NPP, Candidate: Nana Akufo Addo, Party: NPP, Votes: 80605, Votes(%): 35.19%
Year: 2020, Old Region: Northern Region, New Region: Savannah Region, Code: NDC, Candidate: John Dramani Mahama, Party: NDC, Votes: 144244, Votes(%): 62.97%
Year: 2020, Old Region: Northern Region, New Region: Savannah Region, Code: Others, Candidate: Ivor Kobina Greenstreet, Party: CPP, Votes: 503, Votes(%): 0.22%
